location_code,location_name,division_code,division_name,mean_temp_c,mean_annual_precip_mm,mean_annual_extreme_heat_days,extreme_heat_threshold_c,period_start,period_end,data_status,source_name,source_url
BD-D-JOYPURHAT,Joypurhat,BD-RAJ,Rajshahi,25.33,2343.49,37.56,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-KHAGRACHHARI,Khagrachhari,BD-CTG,Chattogram,24.70,3886.40,30.89,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-KHULNA,Khulna,BD-KHU,Khulna,25.89,2638.05,60.00,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-KISHOREGANJ,Kishoreganj,BD-DHA,Dhaka,25.22,4098.03,20.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-KURIGRAM,Kurigram,BD-RAN,Rangpur,24.69,2561.17,13.89,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-KUSHTIA,Kushtia,BD-KHU,Khulna,25.70,1751.30,70.00,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-LAKSHMIPUR,Lakshmipur,BD-CTG,Chattogram,25.48,3358.96,22.56,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-LALMONIRHAT,Lalmonirhat,BD-RAN,Rangpur,24.95,2761.43,30.44,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-MADARIPUR,Madaripur,BD-DHA,Dhaka,25.53,2827.24,44.22,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-MAGURA,Magura,BD-KHU,Khulna,25.59,2272.05,52.56,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-MANIKGANJ,Manikganj,BD-DHA,Dhaka,25.45,2672.34,36.11,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-MEHERPUR,Meherpur,BD-KHU,Khulna,25.70,1751.30,70.00,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-MOULVIBAZAR,Moulvibazar,BD-SYL,Sylhet,24.95,4121.76,16.44,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
