disease_code,disease_name,period_start,period_end,period_type,period_label,location_code,location_name,location_level,cases,deaths,population,incidence_per_100k,data_status,source_name,source_url,complete_period
HPAI,Avian Influenza (HPAI),2008-01-01,2008-06-30,six_monthly,2008-S1,BD-SYL,Sylhet,division,3,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2008-07-01,2008-12-31,six_monthly,2008-S2,BD,Bangladesh,national,7,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2008-07-01,2008-12-31,six_monthly,2008-S2,BD-BAR,Barishal,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2008-07-01,2008-12-31,six_monthly,2008-S2,BD-CTG,Chattogram,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2008-07-01,2008-12-31,six_monthly,2008-S2,BD-DHA,Dhaka,division,2,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2008-07-01,2008-12-31,six_monthly,2008-S2,BD-KHU,Khulna,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2008-07-01,2008-12-31,six_monthly,2008-S2,BD-RAJ,Rajshahi,division,5,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2008-07-01,2008-12-31,six_monthly,2008-S2,BD-RAN,Rangpur,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2008-07-01,2008-12-31,six_monthly,2008-S2,BD-SYL,Sylhet,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-01-01,2009-06-30,six_monthly,2009-S1,BD,Bangladesh,national,30,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-01-01,2009-06-30,six_monthly,2009-S1,BD-BAR,Barishal,division,1,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-01-01,2009-06-30,six_monthly,2009-S1,BD-CTG,Chattogram,division,8,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-01-01,2009-06-30,six_monthly,2009-S1,BD-DHA,Dhaka,division,11,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-01-01,2009-06-30,six_monthly,2009-S1,BD-KHU,Khulna,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-01-01,2009-06-30,six_monthly,2009-S1,BD-RAJ,Rajshahi,division,10,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-01-01,2009-06-30,six_monthly,2009-S1,BD-RAN,Rangpur,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-01-01,2009-06-30,six_monthly,2009-S1,BD-SYL,Sylhet,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-07-01,2009-12-31,six_monthly,2009-S2,BD,Bangladesh,national,1,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-07-01,2009-12-31,six_monthly,2009-S2,BD-BAR,Barishal,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-07-01,2009-12-31,six_monthly,2009-S2,BD-CTG,Chattogram,division,1,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-07-01,2009-12-31,six_monthly,2009-S2,BD-DHA,Dhaka,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-07-01,2009-12-31,six_monthly,2009-S2,BD-KHU,Khulna,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-07-01,2009-12-31,six_monthly,2009-S2,BD-RAJ,Rajshahi,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-07-01,2009-12-31,six_monthly,2009-S2,BD-RAN,Rangpur,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2009-07-01,2009-12-31,six_monthly,2009-S2,BD-SYL,Sylhet,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-01-01,2010-06-30,six_monthly,2010-S1,BD,Bangladesh,national,30,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-01-01,2010-06-30,six_monthly,2010-S1,BD-BAR,Barishal,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-01-01,2010-06-30,six_monthly,2010-S1,BD-CTG,Chattogram,division,11,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-01-01,2010-06-30,six_monthly,2010-S1,BD-DHA,Dhaka,division,9,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-01-01,2010-06-30,six_monthly,2010-S1,BD-KHU,Khulna,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-01-01,2010-06-30,six_monthly,2010-S1,BD-RAJ,Rajshahi,division,10,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-01-01,2010-06-30,six_monthly,2010-S1,BD-RAN,Rangpur,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-01-01,2010-06-30,six_monthly,2010-S1,BD-SYL,Sylhet,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-07-01,2010-12-31,six_monthly,2010-S2,BD,Bangladesh,national,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-07-01,2010-12-31,six_monthly,2010-S2,BD-BAR,Barishal,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-07-01,2010-12-31,six_monthly,2010-S2,BD-CTG,Chattogram,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-07-01,2010-12-31,six_monthly,2010-S2,BD-DHA,Dhaka,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-07-01,2010-12-31,six_monthly,2010-S2,BD-KHU,Khulna,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-07-01,2010-12-31,six_monthly,2010-S2,BD-RAJ,Rajshahi,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2010-07-01,2010-12-31,six_monthly,2010-S2,BD-RAN,Rangpur,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
