disease_code,disease_name,period_start,period_end,period_type,period_label,location_code,location_name,location_level,cases,deaths,population,incidence_per_100k,data_status,source_name,source_url,complete_period
AWD,Acute Watery Diarrhoea,2016-01-01,2016-12-31,annual,2016,BD,Bangladesh,national,3200000,,,,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2016-01-01,2016-12-31,annual,2016,BD-BAR,Barishal,division,350224,,8325666,4206.6,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2016-01-01,2016-12-31,annual,2016,BD-CTG,Chattogram,division,709414,,28423019,2495.9,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2016-01-01,2016-12-31,annual,2016,BD-DHA,Dhaka,division,593370,,36054418,1645.8,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2016-01-01,2016-12-31,annual,2016,BD-KHU,Khulna,division,348452,,15563000,2239.0,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2016-01-01,2016-12-31,annual,2016,BD-MYM,Mymensingh,division,290464,,11370000,2554.7,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2016-01-01,2016-12-31,annual,2016,BD-RAJ,Rajshahi,division,344222,,18484858,1862.2,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2016-01-01,2016-12-31,annual,2016,BD-RAN,Rangpur,division,170212,,15665000,1086.6,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2016-01-01,2016-12-31,annual,2016,BD-SYL,Sylhet,division,393642,,10009239,3932.8,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2017-01-01,2017-12-31,annual,2017,BD,Bangladesh,national,4224002,,,,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2017-01-01,2017-12-31,annual,2017,BD-BAR,Barishal,division,462296,,8325666,5552.7,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2017-01-01,2017-12-31,annual,2017,BD-CTG,Chattogram,division,936427,,28423019,3294.6,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2017-01-01,2017-12-31,annual,2017,BD-DHA,Dhaka,division,783248,,36054418,2172.4,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2017-01-01,2017-12-31,annual,2017,BD-KHU,Khulna,division,459957,,15563000,2955.5,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
